label,name_english,name_arabic,category,hardness_moh,hardness_testable,luster,streak_color,cleavage,fracture,acid_reaction,special_property,description_for_ai,common_locations,primary_color
graphite,Graphite,,,,,,,,,,,,,
gold,Gold,,,,,,,,,,,,,
silver,Silver,,,,,,,,,,,,,
antimonite,Antimonite,,,,,,,,,,,,,
copper,Copper,,,,,,,,,,,,,
sulfur,Sulfur,,,,,,,,,,,,,
hematite,Hematite,,,,,,,,,,,,,
chalcedony,Chalcedony,,,,,,,,,,,,,
cassiterite,Cassiterite,,,,,,,,,,,,,
microcline,Microcline,,,,,,,,,,,,,
oligoclase,Oligoclase,,,,,,,,,,,,,
quartz,Quartz,,,,,,,,,,,,,
bournonite,Bournonite,,,,,,,,,,,,,
pyrargyrite,Pyrargyrite,,,,,,,,,,,,,
marcasite,Marcasite,,,,,,,,,,,,,
amethyst,Amethyst,,,,,,,,,,,,,
arsenopyrite,Arsenopyrite,,,,,,,,,,,,,
cobaltin,Cobaltin,,,,,,,,,,,,,
arsenic,Arsenic,,,,,,,,,,,,,
pyrite,Pyrite,,,,,,,,,,,,,
hornblende,Hornblende,,,,,,,,,,,,,
amazonite,Amazonite,,,,,,,,,,,,,
chromite,Chromite,,,,,,,,,,,,,
opal,Opal,,,,,,,,,,,,,
bismuth,Bismuth,,,,,,,,,,,,,
tetrahedrite,Tetrahedrite,,,,,,,,,,,,,
magnetite,Magnetite,,,,,,,,,,,,,
chrysoberyl,Chrysoberyl,,,,,,,,,,,,,
topaz,Topaz,,,,,,,,,,,,,
cinnabar,Cinnabar,,,,,,,,,,,,,
beryl,Beryl,,,,,,,,,,,,,
labradorite,Labradorite,,,,,,,,,,,,,
gypsum,Gypsum,,,,,,,,,,,,,
proustite,Proustite,,,,,,,,,,,,,
spodumene,Spodumene,,,,,,,,,,,,,
jasper,Jasper,,,,,,,,,,,,,
augite,Augite,,,,,,,,,,,,,
agate,Agate,,,,,,,,,,,,,
spinel,Spinel,,,,,,,,,,,,,
andalusite,Andalusite,,,,,,,,,,,,,
flint,Flint,,,,,,,,,,,,,
pollucite,Pollucite,,,,,,,,,,,,,
cuprite,Cuprite,,,,,,,,,,,,,
hedenbergite,Hedenbergite,,,,,,,,,,,,,
ilmenite,Ilmenite,,,,,,,,,,,,,
carnelian,Carnelian,,,,,,,,,,,,,
actinolite,Actinolite,,,,,,,,,,,,,
chrysoprase,Chrysoprase,,,,,,,,,,,,,
diopside,Diopside,,,,,,,,,,,,,
tremolite,Tremolite,,,,,,,,,,,,,
albite,Albite,,,,,,,,,,,,,
rutile,Rutile,,,,,,,,,,,,,
zircon,Zircon,,,,,,,,,,,,,
corundum,Corundum,,,,,,,,,,,,,
celestine,Celestine,,,,,,,,,,,,,
malachite,Malachite,,,,,,,,,,,,,
nephrite,Nephrite,,,,,,,,,,,,,
sphalerite,Sphalerite,,,,,,,,,,,,,
wollastonite,Wollastonite,,,,,,,,,,,,,
limonite,Limonite,,,,,,,,,,,,,
rhodonite,Rhodonite,,,,,,,,,,,,,
fluorite,Fluorite,,,,,,,,,,,,,
orthoclase,Orthoclase,,,,,,,,,,,,,
aragonite,Aragonite,,,,,,,,,,,,,
dolomite,Dolomite,,,,,,,,,,,,,
pectolite,Pectolite,,,,,,,,,,,,,
grossular,Grossular,,,,,,,,,,,,,
tourmaline,Tourmaline,,,,,,,,,,,,,
apatite,Apatite,,,,,,,,,,,,,
kyanite,Kyanite,,,,,,,,,,,,,
cancrinite,Cancrinite,,,,,,,,,,,,,
andradite,Andradite,,,,,,,,,,,,,
almandine,Almandine,,,,,,,,,,,,,
barite,Barite,,,,,,,,,,,,,
galena,Galena,,,,,,,,,,,,,
muscovite,Muscovite,,,,,,,,,,,,,
calcite,Calcite,,,,,,,,,,,,,
aegirine,Aegirine,,,,,,,,,,,,,
eudialyte,Eudialyte,,,,,,,,,,,,,
azurite,Azurite,,,,,,,,,,,,,
goethite,Goethite,,,,,,,,,,,,,
epidote,Epidote,,,,,,,,,,,,,
lapis lazuli,Lapis Lazuli,,,,,,,,,,,,,
scheelite,Scheelite,,,,,,,,,,,,,
vesuvian,Vesuvian,,,,,,,,,,,,,
chalcopyrite,Chalcopyrite,,,,,,,,,,,,,
analcime,Analcime,,,,,,,,,,,,,
natrolite,Natrolite,,,,,,,,,,,,,
amber,Amber,,,,,,,,,,,,,
molybdenite,Molybdenite,,,,,,,,,,,,,
pyrrhotite,Pyrrhotite,,,,,,,,,,,,,
prehnite,Prehnite,,,,,,,,,,,,,
siderite,Siderite,,,,,,,,,,,,,
credit,Credit,,,,,,,,,,,,,
vivianite,Vivianite,,,,,,,,,,,,,
titanite,Titanite,,,,,,,,,,,,,
elbaite,Elbaite,,,,,,,,,,,,,
fluorapatite,Fluorapatite,,,,,,,,,,,,,
